Months,Post URL,Date,Remarks
January,https://www.linkedin.com/posts/krishnaprakash123_kalpataru-sanatanadharma-vasudhaivakutumbakam-activity-7147423185318068224-Rg5q?utm_source=share&utm_medium=member_desktop,"Mon, 01 Jan 2024",Celebrating Kalpataru Day: Honoring Sri Ramakrishna's legacy and renewing our commitment to spiritual growth and global unity.
January,https://www.linkedin.com/posts/krishnaprakash123_chennai-floods-sanskrit-college-today-activity-7149039312716652544-g2_R?utm_source=share&utm_medium=member_desktop,"Fri, 05 Jan 2024",Reposted this post from Ravindran Krishnan. Chennai floods and  Sanskrit College.
January,https://www.linkedin.com/posts/krishnaprakash123_check-out-this-job-at-vedanta-wisdom-trust-activity-7150111297810968577-XTMP?utm_source=share&utm_medium=member_desktop,"Mon, 08 Jan 2024",Shared job at Vedanta Wisdom Trust: Project Manager-NGO
January,https://www.linkedin.com/posts/krishnaprakash123_dharma-vasudhaivakutumbakam-rama-activity-7150164971400699906--wpL?utm_source=share&utm_medium=member_desktop,"Mon, 08 Jan 2024",A simple and heartfelt conversation about the importance of Dharma and living a meaningful life took place in a village. This conversation was sparked by a traditional event and highlights the need to reconnect with our spiritual heritage.
January,https://www.linkedin.com/posts/varuldevpfc_how-do-we-practice-life-are-we-aware-that-ugcPost-7150710528410009601-Y70U?utm_source=share&utm_medium=member_desktop,"Wed, 10 Jan 2024","Reposted this post from Arul Dev. Answering the question ""How do we practice life?""."
January,https://www.linkedin.com/posts/kalyangullapalli_rediscoveringbharat-ugcPost-7150745040376467456-H1TH?utm_source=share&utm_medium=member_desktop,"Wed, 10 Jan 2024",Reposted this post from Kalyan Gullapalli. Odisha's maritime prowess: A forgotten chapter of India's history.
January,https://www.linkedin.com/posts/krishnaprakash123_9-subjects-that-should-be-taught-in-every-activity-7151032445197258752-YQL7?utm_source=share&utm_medium=member_desktop,"Thu, 11 Jan 2024",Reposted a post from Marcus Frick. 9 subjects that should be taught in every classroom.
January,https://www.linkedin.com/posts/krishnaprakash123_linkedin-indicwisdom-goals-activity-7151037404634603521-bn0b?utm_source=share&utm_medium=member_desktop,"Thu, 11 Jan 2024",Shrimath Yoga's year-end retreat brought together diverse leaders for self-discovery. The program's success has led to the announcement of the next batch.
January,https://www.linkedin.com/posts/prof-krishnamurthy-v-subramanian-220b1068_in-charts-how-india-has-changed-under-narendra-activity-7150669012169879552-Kp8K?utm_source=share&utm_medium=member_desktop,"Thu, 11 Jan 2024","Reposted this from Prof. Krishnamurthy V Subramanian. Engineer-turned-economist praises India's tech-driven welfare delivery, highlighting Aadhaar's role in reducing leakages."
January,https://www.linkedin.com/posts/krishnaprakash123_newyear2024-activity-7151140289301086208-8lyv?utm_source=share&utm_medium=member_desktop,"Thu, 11 Jan 2024","A father-daughter dialogue unravels the power of the mind, drawing parallels between Hanuman Ji's wisdom and modern-day life. The importance of mindfulness and a childlike approach to life is emphasized."
January,https://www.linkedin.com/posts/krishnaprakash123_insideoutgame-yoganidra-indicwisdom-activity-7151489635880189953-_5bh?utm_source=share&utm_medium=member_desktop,"Fri, 12 Jan 2024",Reposted from Ashutosh Singh. LinkedIn Live with Yogacharya Krishna
January,https://www.linkedin.com/posts/krishnaprakash123_locating-ravanas-lanka-activity-7151569083036000257-njH3?utm_source=share&utm_medium=member_desktop,"Fri, 12 Jan 2024",Reposted from Jayasree Saranathan. Research work on finding out the location of Ravana's Lanka
January,https://www.linkedin.com/posts/jankivedanta_home-activity-7151845759703756800-4QW8?utm_source=share&utm_medium=member_desktop,"Sat, 13 Jan 2024",Reposted from Dr. Janki Santoke. The knowledge of life and living discovered by the seers of ancient India.
January,https://www.linkedin.com/posts/krishnaprakash123_cow-indicwisdom-activity-7153006161376542720-qv1V?utm_source=share&utm_medium=member_desktop,"Tue, 16 Jan 2024","Reviving ancient wisdom: A call to explore the benefits of cow-based products, citing personal experience and encouraging further research."
January,https://www.linkedin.com/posts/krishnaprakash123_bharata-vasudhaivakutumbakam-order-activity-7153195948943228928-LTg3?utm_source=share&utm_medium=member_desktop,"Wed, 17 Jan 2024","Kendra Scott's passion-driven philosophy combined with insights into India's cultural and spiritual depth, emphasizing the power of the feminine principle and the nation's inclusive ethos."
January,https://www.linkedin.com/posts/coachsrikanth_coaching-paneldiscussion-continuouslearning-activity-7153227793676333056-h5yT?utm_source=share&utm_medium=member_desktop,"Wed, 17 Jan 2024",Challenge the coaching status quo. Deep dive into mastery vs. technique. Join panel discussion on building an authentic coaching business.
January,https://www.linkedin.com/posts/krishnaprakash123_holistic-visioning-leadershipdevelopment-activity-7153310405149233154-abLy?utm_source=share&utm_medium=member_desktop,"Wed, 17 Jan 2024",Reposted this from Deepa Mahesh. Unleash Your Potential with Conscious Leadership. Discover a proven method for holistic goal setting and manifestation. Join our Feb 7th workshop to shape your extraordinary 2024.
January,https://www.linkedin.com/posts/lakshansrikanthan_ive-been-in-the-coaching-business-for-about-activity-7153262253234962432-WK1v?utm_source=share&utm_medium=member_desktop,"Wed, 17 Jan 2024",Reposted this post from Lakshan Srikanthan. Build your practice with top coaches' insights. Join our panel discussion on Jan 17th.
January,https://www.linkedin.com/posts/activity-7153667117723078657-W6kf?utm_source=share&utm_medium=member_desktop,"Thu, 18 Jan 2024",Reposted this post from Raghava KrishnaRaghava Krishna. Brhat partners with Amrita University to cultivate civilizational leadership through Dharma-based pedagogy
January,https://www.linkedin.com/posts/krishnaprakash123_insideoutgame-yoganidra-indicwisdom-activity-7153908717489418240-Mh8Q?utm_source=share&utm_medium=member_desktop,"Fri, 19 Jan 2024",Reposted this post from Ashutosh Singh. Shrimath Yoga thanks Ashutosh Singh for sharing Yoga Nidra insights on LinkedIn.
January,https://www.linkedin.com/posts/kalyangullapalli_rediscoveringbharat-activity-7154291446534094848-6aoR?utm_source=share&utm_medium=member_desktop,"Sat, 20 Jan 2024",Reposted this post from Kalyan GullapalliKalyan Gullapalli. Unraveling the depths of the Gita: A quest to understand Dharma and the true essence of Rama.
January,https://www.linkedin.com/posts/krishnaprakash123_awareness-ayodhya-vasudhaivakutumbakam-activity-7155021599060938752-PIC-?utm_source=share&utm_medium=member_desktop,"Mon, 22 Jan 2024","A father-daughter dialogue on the significance of the Ram temple inauguration, emphasizing the concepts of Dharma, unity, and resilience."
January,https://www.linkedin.com/posts/krishnaprakash123_the-jewels-of-shri-rams-legacy-activity-7155092069114433536-xYbu?utm_source=share&utm_medium=member_desktop,"Mon, 22 Jan 2024","Shri Rama's life, a testament to Dharma: Embracing uncertainty, practicing compassion, and finding inner peace amidst life's challenges."
January,https://www.linkedin.com/posts/jankivedanta_booklaunch-thehappinessguarantee-drjankisantoke-activity-7155136867842039809-jHxe?utm_source=share&utm_medium=member_desktop,"Mon, 22 Jan 2024",Book launch of Dr. Janki Santoke's
January,https://www.linkedin.com/posts/krishnaprakash123_yoganidra-stressmanagement-selfawareness-activity-7155446558593839104-i9yF?utm_source=share&utm_medium=member_desktop,"Tue, 23 Jan 2024","Discover true happiness through grace, not achievement. Ancient wisdom and practices like yoga can help you tune into your purpose and identity."
January,https://www.linkedin.com/posts/hariharandinesh_newbeginnings-newopening-newopenings-activity-7155548279198355456-VoZA?utm_source=share&utm_medium=member_desktop,"Tue, 23 Jan 2024",Reposted post from Dinesh Hariharan (DH). Vaango | Devyani International Limited Now Serving - Port Blair
January,https://www.linkedin.com/posts/krishnaprakash123_the-greatest-lesson-from-the-life-of-veda-activity-7155809224311083008-UFFP?utm_source=share&utm_medium=member_desktop,"Wed, 24 Jan 2024","Veda Vyasa: Master curator and knowledge architect. Learn, apply, and grow without reinventing the wheel."
January,https://www.linkedin.com/posts/ravindran-krishnan-37a989a_sanskrit-college-and-chennai-floods-todays-activity-7155858816616615938-DTQf?utm_source=share&utm_medium=member_desktop,"Wed, 24 Jan 2024",Reposted post from Ravindran Krishnan. Sanskrit College and Chennai floods
January,https://www.linkedin.com/posts/atul-kumar-kuthiala-0638b21_questions-on-the-internet-to-whos-who-of-activity-7149572374424633344-hu9Y?utm_source=share&utm_medium=member_desktop,"Thu, 25 Jan 2024","Reposted post from Atul Kumar Kuthiala. Author challenges established timelines of Vedic period and Mahabharata war, citing inconsistencies in scholarly consensus and outdated methodologies."
January,https://www.linkedin.com/posts/krishnaprakash123_we-live-in-a-highly-uncertain-world-you-activity-7156171988078596096-W6_5?utm_source=share&utm_medium=member_desktop,"Thu, 25 Jan 2024",Cultivate inner stability amidst life's uncertainties. Antar Mouna: The kite and its handler.
January,https://www.linkedin.com/posts/krishnaprakash123_shrimathyoga-innerpeace-mindfulness-activity-7156533789051998208-cDbh?utm_source=share&utm_medium=member_desktop,"Fri, 26 Jan 2024","Shrimath Yoga: Escape the noise, rediscover yourself. Unplug, recharge, and awaken your inner wisdom."
January,https://www.linkedin.com/posts/jankivedanta_booklaunch-thehappinessguarantee-drjankisantoke-activity-7156557642054676480-4_A5?utm_source=share&utm_medium=member_desktop,"Fri, 26 Jan 2024",Book launch of Dr. Janki Santoke's
January,https://www.linkedin.com/posts/krishnaprakash123_vedanta-through-your-own-eyes-activity-7156897140789678080-w6hN?utm_source=share&utm_medium=member_desktop,"Sat, 27 Jan 2024",Unveiling the 20 values of Dharma from the battlefield. Day 2 at Shrimath Yoga explores practical application of Gita's wisdom in everyday life.
January,https://www.linkedin.com/posts/krishnaprakash123_yogicwisdom-fearlessliving-indicwisdom-activity-7157260984959598592-ExH3?utm_source=share&utm_medium=member_desktop,"Sun, 28 Jan 2024","Conquer fear, embrace courage. Yoga's path to Abhayam: Discover inner strength, authenticity, and freedom."
January,https://www.linkedin.com/posts/goldie-uttamchandani_listening-no-judgement-ugcPost-7155558038446235648-Ve5i?utm_source=share&utm_medium=member_desktop,"Sun, 28 Jan 2024",Reposted post from Goldie UttamchandaniGoldie Uttamchandani. Active listening and non-judgment are key to building strong teen relationships.
January,https://www.linkedin.com/posts/krishnaprakash123_selfrealization-bhagavadgita-awareness-activity-7157623392366424064-3Ip3?utm_source=share&utm_medium=member_desktop,"Mon, 29 Jan 2024",Discover the path within. Cultivate your inner garden with Bhagavad Gita's wisdom. Take the first step today.
January,https://www.linkedin.com/posts/krishnaprakash123_abundance-with-yoga-nidra-activity-7157989108194172928-uPmI?utm_source=share&utm_medium=member_desktop,"Tue, 30 Jan 2024","Shift from scarcity to abundance with Yoga Nidra. Cultivate gratitude, unlock potential, and experience life's infinite flow."
February,https://www.linkedin.com/posts/krishnaprakash123_i-met-coach-srikanth-in-september-2023-when-activity-7158755117880467456-HoaQ?utm_source=share&utm_medium=member_desktop,"Thu, 01 Feb 2024","Discover the power of 1-on-1s with Coach Srikanth! Learn how to elevate relationships, boost productivity, and drive business growth"
February,https://www.linkedin.com/posts/krishnaprakash123_thehappinessguarantee-drjankisantoke-vedanta-activity-7158966298121551872-3kDS?utm_source=share&utm_medium=member_desktop,"Thu, 01 Feb 2024",Reposted the post from  Dr. Janki Santoke's. Link to order book.
February,https://www.linkedin.com/feed/update/urn:li:activity:7158966337245990912?utm_source=share&utm_medium=member_desktop,"Thu, 01 Feb 2024",Reposted the post from Dr. Janki Santoke's. Link to order book.
February,https://www.linkedin.com/posts/kalyangullapalli_rediscoveringbharat-activity-7158987389317570560-UI5U?utm_source=share&utm_medium=member_desktop,"Fri, 02 Feb 2024","Reposted the post from Kalyan Gullapalli. Son's curiosity about Indic Inspirations leads to a heartwarming exploration of Indian history and art through ""The Preamble"" product. A beautiful display of national pride in the home."
February,https://www.linkedin.com/posts/krishnaprakash123_veda-the-timeless-wisdom-activity-7159083191314636800-MA_3?utm_source=share&utm_medium=member_desktop,"Fri, 02 Feb 2024","The Veda: A timeless source of infinite wisdom, challenging modern perspectives and inspiring limitless potential for individuals and organizations."
February,https://www.linkedin.com/posts/krishnaprakash123_guru-spiritualgps-indicwisdom-activity-7159458436504592384-x80D?utm_source=share&utm_medium=member_desktop,"Sat, 03 Feb 2024","Navigate your spiritual journey Shrimath Yoga,."
February,https://www.linkedin.com/posts/krishnaprakash123_trauma-shrimathyoga-indicwisdom-activity-7159796765586608129-F_Dt?utm_source=share&utm_medium=member_desktop,"Sun, 04 Feb 2024","Breathe in the serenity of Shrimath Yoga, and let its magic guide you towards a more mindful, balanced you."
February,https://www.linkedin.com/posts/donnellychris_productivity-activity-7157718354110091265-RDhy?utm_source=share&utm_medium=member_desktop,"Sun, 04 Feb 2024",Reposted the post from Chris Donnelly.  Free Productivity courses for anyone wanting to Develop themselves in 2024.
February,https://www.linkedin.com/posts/krishnaprakash123_start-your-journey-to-awareness-activity-7160157719801270272-CB7G?utm_source=share&utm_medium=member_desktop,"Mon, 05 Feb 2024","Rediscover the magic of the present moment. Slow down, breathe, and embrace the beauty of now."
February,https://www.linkedin.com/posts/krishnaprakash123_yoga-of-abhayam-activity-7160523351910666242-2Vq-?utm_source=share&utm_medium=member_desktop,"Tue, 06 Feb 2024",Conquer fear through self-discovery and spiritual practice. Embrace your inner strength and cultivate a peaceful mind.
February,https://www.linkedin.com/posts/shankarswisdom_bhashadaan-an-crowdsourcing-initiative-activity-7160617260498198528-CUxP?utm_source=share&utm_medium=member_desktop,"Tue, 06 Feb 2024","Reposted the post from Shankar Jayaraman Digital Mentor CoachShankar Jayaraman Digital Mentor Coach. Personal Growth, Professional Development."
February,https://www.linkedin.com/posts/april-strong_information-knowledge-clarity-ugcPost-7160123683708043264-oVcR?utm_source=share&utm_medium=member_desktop,"Tue, 06 Feb 2024","Reposted the post from April Strong. Knowledge, clarity."
February,https://www.linkedin.com/posts/krishnaprakash123_the-divine-feminine-nidra-activity-7160917153662046209-XyMQ?utm_source=share&utm_medium=member_desktop,"Wed, 07 Feb 2024",The Devine Feminine.
February,https://www.linkedin.com/posts/krishnaprakash123_discover-the-essence-of-silence-activity-7161246806104842242-nCSx?utm_source=share&utm_medium=member_desktop,"Thu, 08 Feb 2024",The Essence of silence.
February,https://www.linkedin.com/posts/krishnaprakash123_vyasa-ganapati-and-gita-activity-7161653467273449472-dHR1?utm_source=share&utm_medium=member_desktop,"Fri, 09 Feb 2024","Vyas, Ganapati and Geeta"
February,https://www.linkedin.com/posts/krishnaprakash123_the-benefits-of-worshiping-r%C4%81ja-shy%C4%81mala-activity-7162080762324791297-2WOk?utm_source=share&utm_medium=member_desktop,"Sat, 10 Feb 2024",Shyamala Navratri
February,https://www.linkedin.com/posts/krishnaprakash123_after-a-series-of-high-on-creative-today-activity-7162410295003475968-wZHx?utm_source=share&utm_medium=member_desktop,"Sun, 11 Feb 2024",Ma Sharada Sringeri
February,https://www.linkedin.com/posts/krishnaprakash123_suswasaspace-activity-7162658820568047616-WQ1U?utm_source=share&utm_medium=member_desktop,"Mon, 12 Feb 2024",Integrate self-awareness micro-practices into your day-to-day activities
February,https://www.linkedin.com/posts/krishnaprakash123_how-to-overcome-fear-activity-7162696919377539073-_p2E?utm_source=share&utm_medium=member_desktop,"Mon, 12 Feb 2024",Abhayam
February,https://www.linkedin.com/posts/krishnaprakash123_persuasion-is-the-ability-to-convince-activity-7163052609879146496-HC3d?utm_source=share&utm_medium=member_desktop,"Tue, 13 Feb 2024",Amazing opportunity from  The EliteTrainer.
February,https://www.linkedin.com/posts/krishnaprakash123_gita-activity-7163056953835900928-SqT8?utm_source=share&utm_medium=member_desktop,"Tue, 13 Feb 2024",Arjunas Dharma Sankata.
February,https://www.linkedin.com/feed/update/urn:li:activity:7163157771515871234?utm_source=share&utm_medium=member_desktop,"Tue, 13 Feb 2024","Goal setting by Mumbai HR, Its Only about Human Resources."
February,https://www.linkedin.com/posts/krishnaprakash123_dialogues-with-a-strong-daughter-activity-7163420429393575937-QhxV?utm_source=share&utm_medium=member_desktop,"Wed, 14 Feb 2024",Dialogues with a strong daughter.
February,https://www.linkedin.com/feed/update/urn:li:activity:7163771751456264192?utm_source=share&utm_medium=member_desktop,"Thu, 15 Feb 2024","Entrepreneurship, Business Success."
February,https://www.linkedin.com/posts/krishnaprakash123_yoga-for-girls-activity-7163791463695208449-Hqsg?utm_source=share&utm_medium=member_desktop,"Thu, 15 Feb 2024",Rooted and rising.
February,https://www.linkedin.com/posts/krishnaprakash123_shrimathyoga-sunsalutation-indicwisdom-activity-7163903009360474112-tsIc?utm_source=share&utm_medium=member_desktop,"Thu, 15 Feb 2024",Ratha Saptalo
February,https://www.linkedin.com/posts/krishnaprakash123_bheeshma-activity-7164289604370546688-G8us?utm_source=share&utm_medium=member_desktop,"Fri, 16 Feb 2024",Bheeshma
February,https://www.linkedin.com/posts/krishnaprakash123_calendar-climate-lunar-cycles-ritu-chariya-activity-7165141508793335808-Yy2I?utm_source=share&utm_medium=member_desktop,"Mon, 19 Feb 2024","Reposted the post from Kunal Kapoor. Author correlates ancient Indian calendar, climate patterns, and cultural events, emphasizing the wisdom of the land and its potential for technological advancement."
February,https://www.linkedin.com/posts/krishnaprakash123_communication-training-professionaldevelopment-activity-7165233381012688898-ke_-?utm_source=share&utm_medium=member_desktop,"Mon, 19 Feb 2024","Communication, Training, Sales."
February,https://www.linkedin.com/feed/update/urn:li:activity:7165233408766410753?utm_source=share&utm_medium=member_desktop,"Mon, 19 Feb 2024","Communication, Training, Sales."
February,https://www.linkedin.com/posts/krishnaprakash123_a-legacy-of-courage-chhatrapati-shiv%C4%81ji-activity-7165244845526073347-XqIv?utm_source=share&utm_medium=member_desktop,"Mon, 19 Feb 2024","A legacy of courage, leadership and self belief."
February,https://www.linkedin.com/posts/krishnaprakash123_entrepreneur-spotlight-coaching-activity-7165579218263764992-696Q?utm_source=share&utm_medium=member_desktop,"Tue, 20 Feb 2024",The Entrepreneur spotlight. 
February,https://www.linkedin.com/feed/update/urn:li:activity:7165579257560117248?utm_source=share&utm_medium=member_desktop,"Tue, 20 Feb 2024",The Entrepreneur spotlight. 
February,https://www.linkedin.com/posts/krishnaprakash123_indicwisdom-mindset-lifelonglearning-activity-7165594546276327424-EL8d?utm_source=share&utm_medium=member_desktop,"Tue, 20 Feb 2024",Lifelong learning.
February,https://www.linkedin.com/posts/krishnaprakash123_yoga-nidra-to-activate-alpha-brain-waves-activity-7165987916643581955-nfNJ?utm_source=share&utm_medium=member_desktop,"Wed, 21 Feb 2024",Inner peace and self discovery.
February,https://www.linkedin.com/posts/krishnaprakash123_yogaforgirls-selfdiscovery-indicwisdom-activity-7166342167861379073-Jsk4?utm_source=share&utm_medium=member_desktop,"Thu, 22 Feb 2024",Yoga for girls.
